Price,Mileage
10950,119653
4795,254000
1800,194000
1900,224321
3500,279000
3750,180000
5500,140000
7600,75406
12500,105600
6400,160000
15000,74893
4500,170000
29900,1285
7650,119000
22500,10140
2300,293182
10950,119653
3800,181000
2800,296000
12900,56000
13000,105000
3000,210000
4500,172000
1700,267000
3600,186104
2000,224000
2000,224000
13300,74300
2500,241000
19500,37500
5600,198000
4500,215000
3250,179826
8900,135832
19999,12000
16000,76000
5000,213196
8900,131814
4900,215000
5500,197000
3000,214925
15500,42500
4700,160200
