Region,Price,Year,Mileage
Portland,10950,2010,119653
Portland,4795,2004,254000
Portland,1800,1997,194000
Portland,1900,1998,224321
Portland,3500,2000,279000
Portland,5500,2011,140000
Portland,12500,2012,105600
Portland,6400,2003,160000
Portland,15000,2013,74893
Portland,29900,2019,1285
Portland,22500,2018,10140
Portland,2300,1999,293182
Portland,10950,2010,119653
Portland,2800,2002,296000
Portland,12900,2010,56000
Portland,13000,2012,105000
Portland,3000,1999,210000
Portland,4500,2004,172000
Portland,1700,2002,267000
Portland,3600,2004,186104
Portland,2000,2000,224000
Portland,13300,2010,74300
Portland,2500,2001,241000
Portland,19500,2016,37500
Portland,5600,2007,198000
Seattle,6200,2006,184000
Seattle,3100,2002,215000
Seattle,3000,1999,214925
Seattle,6500,2007,181330
Seattle,7000,2009,173279
Seattle,6880,2010,220305
Seattle,4400,2001,179000
Seattle,8900,2007,131814
Seattle,8900,2008,135832
Seattle,5000,2008,213196
Seattle,18000,2014,56881
Seattle,4500,2003,178000
Seattle,2000,1997,230000
Seattle,3600,2006,225000
Seattle,4900,2006,215000
Seattle,1999,2002,230000
Seattle,5200,2004,132300
Seattle,20000,2016,30000
Seattle,25500,2019,10500
Seattle,900,1999,204765
Seattle,15000,2014,83000
Seattle,8800,2008,144000
